baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000022865.14	1018.88228678916	3.40919660752433	0.170219556997229	20.0282309956889	3.12565255697418e-89	4.91014208560264e-87
ENSMUSG00000019996.17	303.780184463186	4.80166362923548	0.240586449251051	19.9581632472782	1.27306013334861e-88	1.96383861831786e-86
ENSMUSG00000085925.3	338.253429389161	3.26828424604984	0.16375638293567	19.9582097959122	1.27187502449333e-88	1.96383861831786e-86
ENSMUSG00000028128.13	1795.23000802139	-2.0928775820307	0.10498400910102	-19.9352034652902	2.01484123404693e-88	3.08036843308799e-86
ENSMUSG00000024965.9	348.958964826904	5.41597958704517	0.2725178605169	19.8738518523974	6.85365581697955e-88	1.03854113764726e-85
ENSMUSG00000028954.11	2687.03308101199	1.80991436772449	0.0918921383494044	19.696074117272	2.33002302882132e-86	3.49973546688662e-84
ENSMUSG00000031075.19	2032.3412059933	1.83500437263835	0.0935766612797237	19.6096371418197	1.27941400993537e-85	1.90499183409769e-83
ENSMUSG00000027456.8	288.420785244655	5.87590544898151	0.304870031045451	19.2734767298446	8.97026036188102e-83	1.32411869117663e-80
ENSMUSG00000026638.15	451.744554715701	7.30682243576026	0.379686617357807	19.2443507401118	1.57423402963266e-82	2.30389822986324e-80
ENSMUSG00000044737.6	429.464981861434	7.15144025961658	0.371726275436384	19.2384577905375	1.76378502128096e-82	2.55943143384694e-80
ENSMUSG00000025481.12	243.863756316946	4.57335036700786	0.237905095139442	19.2234233753057	2.3569434635707e-82	3.39142377535472e-80
ENSMUSG00000002384.2	247.643520481811	4.42717300311277	0.230835945041101	19.1788718274552	5.55731078407238e-82	7.92981937963927e-80
ENSMUSG00000006310.10	295.625245080224	5.63574656314352	0.294812209680051	19.1163947017656	1.84423337118801e-81	2.60981884420266e-79
ENSMUSG00000027377.2	378.282228820718	7.04903189842848	0.37045096824403	19.0282453082563	9.95299890570393e-81	1.39692787100302e-78
ENSMUSG00000042367.12	551.610534697459	3.15492614858267	0.165884121280262	19.0188555977122	1.19053803509204e-80	1.65736445324236e-78
ENSMUSG00000040152.8	93955.7425749457	-1.87575772583716	0.0986562375188628	-19.0130677290275	1.32945612849165e-80	1.8358288135615e-78
ENSMUSG00000052180.15	292.238314234093	4.69638021164878	0.247066094475795	19.0085985760741	1.44768547220374e-80	1.98309746724357e-78
ENSMUSG00000030168.13	2445.16396313739	2.07480060947885	0.109173658935677	19.0045898406801	1.56262675571135e-80	2.12356015381313e-78
ENSMUSG00000034382.14	236.106938509682	4.1437266203472	0.218223001600466	18.9884961253248	2.12322410739497e-80	2.86267451897039e-78
ENSMUSG00000033491.13	658.334545344447	2.6815679806813	0.1419500985511	18.8909201758389	1.35463799338632e-79	1.8121458094339e-77
ENSMUSG00000003283.15	351.253299278769	3.50396332746295	0.185598025227592	18.8793136304449	1.68764895497195e-79	2.24012504309959e-77
ENSMUSG00000025085.16	1462.13951478333	2.08685740931248	0.110560893952023	18.8751857435057	1.82481209747394e-79	2.40355827269586e-77
ENSMUSG00000035852.11	755.31571986983	8.82158498698664	0.472598797191777	18.6661181522367	9.33996671154303e-78	1.22082633589123e-75
ENSMUSG00000036473.16	1495.14419585523	1.84748373111042	0.0992138985243679	18.6212189883523	2.16235378643942e-77	2.80499877918198e-75
ENSMUSG00000027544.16	366.49011989206	7.09256497578358	0.382195041099887	18.5574489804276	7.09968354743751e-77	9.14044220923102e-75
ENSMUSG00000020782.18	792.584929209119	3.31276980143158	0.179243845812857	18.4819165556754	2.88740080212656e-76	3.68962417423979e-74
ENSMUSG00000026450.14	354.380054009918	7.04400783520169	0.381185305192271	18.4792218882852	3.0352708948077e-76	3.84984766902165e-74
ENSMUSG00000028111.4	1436.17608547604	-1.72801373251522	0.0936982173441021	-18.4423330720283	6.00915160600079e-76	7.56578698158467e-74
ENSMUSG00000006342.15	314.583972066683	3.44496442814452	0.187115005358707	18.4109469015613	1.07329522081131e-75	1.34146234058044e-73
ENSMUSG00000031298.15	1972.3552163235	-1.95530111004048	0.106339634317453	-18.3873221173901	1.65978102901322e-75	2.05945148984009e-73
ENSMUSG00000047501.3	1465.40486807116	10.2943132653989	0.560327276356649	18.371965277747	2.20288878819201e-75	2.71367372087854e-73
ENSMUSG00000087166.9	1522.49189413237	10.347833933907	0.563749763792543	18.35536721877	2.99058604691302e-75	3.65770034866369e-73
ENSMUSG00000023092.16	1694.77767551753	-1.72461008321135	0.0942108125994071	-18.3058614571615	7.43073865800113e-75	9.02386794616691e-73
ENSMUSG00000039621.13	360.012429185732	3.67547392954257	0.200899766023188	18.2950632661182	9.05958883127488e-75	1.09244605322479e-72
ENSMUSG00000014846.12	534.541158691979	3.64564614700289	0.199274125273644	18.2946287783056	9.13210505952226e-75	1.09348975478461e-72
ENSMUSG00000033361.13	582.119059893522	2.41038227803611	0.132224994834346	18.229399676331	3.01613639222836e-74	3.5864794058421e-72
ENSMUSG00000051375.15	328.750358582881	2.83973938163341	0.156242958621763	18.1751511023797	8.12045957220051e-74	9.58942270722685e-72
ENSMUSG00000031803.8	247.934669859019	5.60480876241009	0.308670097231353	18.1579259302504	1.1114505127127e-73	1.30351829651915e-71
ENSMUSG00000000120.6	240.866174287891	5.292145898666	0.291685135292675	18.143351368783	1.44918554381411e-73	1.68805469841694e-71
ENSMUSG00000028581.17	347.628928414939	7.10944562924634	0.394614293324051	18.0161888444527	1.45423046480143e-72	1.68248569248614e-70
ENSMUSG00000051076.8	213.996793994005	4.71744489760085	0.262738803529845	17.9548846010672	4.3949421520779e-72	5.05064392416308e-70
ENSMUSG00000021895.10	528.309162987154	2.53212949869414	0.141248907012348	17.9267192380666	7.29598258991333e-72	8.32860732580573e-70
ENSMUSG00000027220.2	953.441160790813	-2.22658995627887	0.124380074221562	-17.9015004631093	1.14787200672814e-71	1.30165644842424e-69
ENSMUSG00000073722.3	563.034424570101	8.25581649882974	0.462246148885412	17.8602169401228	2.40701942935722e-71	2.71153905847919e-69
ENSMUSG00000000889.8	230.14417203515	5.18744859825892	0.291120640476162	17.8188966257227	5.04212294694075e-71	5.64289354382134e-69
ENSMUSG00000042306.11	674.461573324162	8.65654519351553	0.48606419915758	17.8094688078624	5.96734455339218e-71	6.63498966154119e-69
ENSMUSG00000002228.7	239.499810507366	3.85478659247322	0.216649605693111	17.7927237861379	8.04713882163951e-71	8.83276654121367e-69
ENSMUSG00000020173.17	705.790561009505	2.18178997164614	0.12262127945978	17.7929147474096	8.01975760206015e-71	8.83276654121367e-69
ENSMUSG00000026981.15	4911.98477339689	-1.68314094443777	0.0947017303534218	-17.7730748757851	1.14252892070735e-70	1.24608424899822e-68
ENSMUSG00000044641.7	281.028808065556	3.02316637236248	0.170115195364776	17.7712894246745	1.17948199675626e-70	1.27824495129477e-68
ENSMUSG00000030091.17	509.914757602368	8.11489484777242	0.457668919004777	17.7309284305752	2.42004774386528e-70	2.6061935546041e-68
ENSMUSG00000025357.8	849.659196213765	2.07001255886632	0.116803318727295	17.7222067097191	2.82605677463861e-70	3.02441063450856e-68
ENSMUSG00000011179.8	2564.61639814733	1.52996484609158	0.0863356909017037	17.7211166102035	2.88135847483782e-70	3.0644410661272e-68
ENSMUSG00000026249.10	14455.952493979	-1.90972689689431	0.10797628067085	-17.686540831276	5.32453981143601e-70	5.62790711056906e-68
ENSMUSG00000024529.14	35411.1896624252	-1.57965671020117	0.089592217172315	-17.6316287291224	1.4085046366721e-69	1.47962115912493e-67
ENSMUSG00000024222.17	763.431322884725	2.1049576021765	0.119803718784241	17.5700522783219	4.17787255041593e-69	4.36205559029097e-67
ENSMUSG00000036553.16	213.728487096826	3.45966254778388	0.196922289740412	17.5686691046732	4.28097958724397e-69	4.44261899832597e-67
ENSMUSG00000023039.17	500.67605865582	3.3787216169986	0.192346987407374	17.5657631166469	4.50593918111488e-69	4.64790340953193e-67
ENSMUSG00000018411.17	222.651589434828	5.17705575825281	0.295027544720241	17.5477030904418	6.19345755949559e-69	6.35033375995467e-67
ENSMUSG00000044393.15	316.1732634806	6.9691286775353	0.397794677750922	17.519411564121	1.01873610125324e-68	1.03832251558091e-66
ENSMUSG00000028392.15	269.329739223853	6.4747189692571	0.370452305756337	17.4778746646965	2.11226448333876e-68	2.1401363756337e-66
ENSMUSG00000078670.3	299.744370595061	2.77448907905154	0.15889911171034	17.4606959673205	2.85433010702116e-68	2.87498202485432e-66
ENSMUSG00000037465.10	1635.1938572866	1.81423941618535	0.103997797688814	17.4449791870976	3.75855396693435e-68	3.76360933191911e-66
ENSMUSG00000041649.13	473.256679997947	3.30128721935303	0.189788784903024	17.3945326697775	9.07639855067705e-68	9.03576583623507e-66
ENSMUSG00000050296.14	288.714937329715	6.65369071488139	0.382689884152574	17.3866386084787	1.04167053541002e-67	1.03101298137721e-65
ENSMUSG00000038028.9	838.268541800986	2.37722121971144	0.13673904870263	17.3850940332432	1.07011674456706e-67	1.05308097800125e-65
ENSMUSG00000022596.3	1256.86870192299	2.36498532122175	0.136228249982691	17.3604617362569	1.64395972464953e-67	1.60854413515279e-65
ENSMUSG00000054423.14	202.650838716873	4.24422237938563	0.244512868811706	17.3578691379798	1.71989202993877e-67	1.67327904708191e-65
ENSMUSG00000041605.16	270.90459931596	2.97306581751795	0.171917074640258	17.2936040456667	5.25608522997698e-67	5.08474279055909e-65
ENSMUSG00000049044.16	224.071462244529	5.50225103900918	0.319054281940862	17.2455013157574	1.20958952573046e-66	1.16358435107206e-64
ENSMUSG00000052397.8	2220.14557613084	1.90824047908466	0.110808725702209	17.2210308077447	1.84669655113612e-66	1.7665354773801e-64
ENSMUSG00000035773.6	203.521530692323	4.55547628666672	0.265865057668575	17.1345430896961	8.19945177914894e-66	7.79995626746485e-64
ENSMUSG00000026202.13	1811.97867381939	2.17796969046047	0.127262970950383	17.1139308959683	1.16841240164098e-65	1.10534395322091e-63
ENSMUSG00000038235.4	1183.35421306574	2.21332462055247	0.129476631233177	17.0943945596364	1.63384004663807e-65	1.53715621530679e-63
ENSMUSG00000014602.15	2164.06183998658	-1.77131285139791	0.103681634558243	-17.0841524532763	1.94752347294909e-65	1.82226472280368e-63
ENSMUSG00000032420.8	1358.81126699875	2.44255490844427	0.142980702872947	17.0831088347266	1.98267714038005e-65	1.84507503666998e-63
ENSMUSG00000030411.16	265.218820801329	3.43383755376548	0.201763489126849	17.0191225807293	5.92518719211545e-65	5.4841610967888e-63
ENSMUSG00000028766.10	185.405337181845	4.67503219347624	0.275184303424976	16.9887313167584	9.95184804278495e-65	9.16158570089284e-63
